parcel_id,tax_district,land_use,sale_year,actual,predicted,residual,residual_z
129 03 0 039.00,URBAN SERVICES DISTRICT,VACANT RESIDENTIAL LAND,2015,319432.88878012967,380654.3855482775,-61221.49676814786,-0.8190498227495312
150 03 0 117.00,URBAN SERVICES DISTRICT,ZERO LOT LINE,2014,92499.48465801569,108554.57900909042,-16055.094351074731,-0.2119095799538656
150 07 0 171.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,127000.0,131842.99998097532,-4842.999980975321,-0.061193265750880216
119 14 0 090.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,221145.84607855132,170425.99467001998,50719.851408531336,0.685699142715391
083 15 0 177.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,251614.82931604062,230340.20422808756,21274.625087953056,0.2898876345866966
150 01 0 104.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,149396.3049063991,158481.85686641646,-9085.551960017357,-0.11822291391376201
061 07 0 208.00,URBAN SERVICES DISTRICT,DUPLEX,2013,85000.0,199468.06294174568,-114468.06294174568,-1.5348060349922283
096 09 0 174.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,215964.2531259505,173847.4666495647,42116.78647638578,0.5700541798189149
083 01 0 312.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,374564.51811822155,349486.824822946,25077.69329527556,0.341009610905303
093 08 0 054.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2015,333193.0747583507,255922.06002172342,77271.01473662726,1.042607793545504
081 10 0 213.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2014,65930.48374560692,103307.69909768767,-37377.21535208075,-0.4985278853466343
086 07 0 057.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,165006.39564679362,146256.58754634424,18749.808100449387,0.255948292138024
114 07 0 022.00,GENERAL SERVICES DISTRICT,SINGLE FAMILY,2016,505181.6396605099,353140.0491230304,152041.5905374795,2.0476961582663824
083 04 0 133.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2016,124725.42259184107,192406.636379504,-67681.21378766293,-0.9058832641957589
073 07 0 117.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,160000.0,163828.94396763877,-3828.94396763877,-0.047562022587868624
072 11 0 329.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,63000.0,97505.84378066954,-34505.843780669544,-0.45993005289309835
091 16 0 352.00,URBAN SERVICES DISTRICT,SINGLE FAMILY,2013,380000.0,320201.4259472992,59798.57405270077,0.8077380383430833
134 13 0 216.00,URBAN SERVICES DISTRICT,DUPLEX,2014,118084.44849959448,134804.78124073823,-16720.33274114375,-0.22085191266245494
