parcel_id,sale_date,sale_year,sale_price,land_use,tax_district,sold_as_vacant,price_outlier_flag,sale_price_real
091 08 0 033.00,2013-08-27,2013,80000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,80000.0
091 08 0 211.00,2013-08-02,2013,160000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,160000.0
091 08 0 259.00,2013-08-09,2013,88000.0,TRIPLEX,URBAN SERVICES DISTRICT,N,CLEAN,88000.0
091 09 0 249.00,2013-08-23,2013,189900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,189900.0
091 11 0 166.00,2013-08-28,2013,170000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,170000.0
092 06 0 008.00,2013-08-28,2013,22000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,22000.0
092 06 0 161.00,2013-08-21,2013,16000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,16000.0
092 06 0 161.00,2013-08-21,2013,12000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,12000.0
102 03 0 093.00,2013-08-16,2013,160000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,160000.0
102 07 0 092.00,2013-08-27,2013,147000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,147000.0
114 07 0A 053.00,2013-08-29,2013,220832.0,VACANT RES LAND,,N,CLEAN,220832.0
114 07 0A 054.00,2013-08-30,2013,220098.0,VACANT RES LAND,,N,CLEAN,220098.0
114 07 0A 055.00,2013-08-30,2013,251716.0,VACANT RES LAND,,N,CLEAN,251716.0
114 07 0A 056.00,2013-08-30,2013,231425.0,VACANT RES LAND,,N,CLEAN,231425.0
114 07 0A 057.00,2013-08-29,2013,261779.0,VACANT RES LAND,,N,CLEAN,261779.0
114 07 0A 059.00,2013-08-16,2013,230269.0,RESIDENTIAL CONDO,,N,CLEAN,230269.0
114 07 0A 061.00,2013-08-09,2013,217348.0,RESIDENTIAL CONDO,,N,CLEAN,217348.0
114 07 0B 022.00,2013-08-22,2013,245000.0,SINGLE FAMILY,,N,CLEAN,245000.0
114 07 0B 047.00,2013-08-02,2013,193500.0,SINGLE FAMILY,,N,CLEAN,193500.0
114 07 0B 125.00,2013-08-23,2013,280000.0,SINGLE FAMILY,,N,CLEAN,280000.0
114 08 0C 088.00,2013-08-05,2013,160800.0,RESIDENTIAL CONDO,,N,CLEAN,160800.0
114 08 0C 111.00,2013-08-09,2013,215000.0,RESIDENTIAL CONDO,,N,CLEAN,215000.0
126 15 0A 058.00,2013-08-01,2013,228000.0,SINGLE FAMILY,,N,CLEAN,228000.0
126 15 0A 192.00,2013-08-21,2013,225000.0,SINGLE FAMILY,,N,CLEAN,225000.0
126 15 0A 287.00,2013-08-05,2013,185000.0,SINGLE FAMILY,,N,CLEAN,185000.0
126 15 0B 162.00,2013-08-21,2013,185000.0,SINGLE FAMILY,,N,CLEAN,185000.0
126 15 0B 311.00,2013-08-14,2013,207500.0,SINGLE FAMILY,,N,CLEAN,207500.0
126 16 0A 032.00,2013-08-12,2013,299500.0,SINGLE FAMILY,,N,CLEAN,299500.0
126 16 0A 142.00,2013-08-15,2013,224900.0,SINGLE FAMILY,,N,CLEAN,224900.0
126 16 0A 230.00,2013-08-15,2013,249000.0,SINGLE FAMILY,,N,CLEAN,249000.0
126 16 0A 298.00,2013-08-30,2013,259000.0,SINGLE FAMILY,,N,CLEAN,259000.0
127 00 0 305.00,2013-08-15,2013,500000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,500000.0
040 09 0A 010.00,2013-08-23,2013,325000.0,SINGLE FAMILY,,N,CLEAN,325000.0
048 00 0 120.00,2013-08-06,2013,179900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,179900.0
058 09 0A 087.00,2013-08-05,2013,179000.0,SINGLE FAMILY,,N,CLEAN,179000.0
058 09 0A 223.00,2013-08-28,2013,159900.0,SINGLE FAMILY,,N,CLEAN,159900.0
058 10 0B 035.00,2013-08-07,2013,235600.0,SINGLE FAMILY,,N,CLEAN,235600.0
058 10 0B 058.00,2013-08-16,2013,52500.0,VACANT RES LAND,,Y,CLEAN,52500.0
058 15 0 115.00,2013-08-09,2013,85000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,85000.0
058 16 0 035.00,2013-08-16,2013,10000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,10000.0
058 16 0 144.00,2013-08-28,2013,615661.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,615661.0
059 04 0 044.00,2013-08-23,2013,157500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,157500.0
059 05 0 169.00,2013-08-02,2013,111000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,111000.0
059 11 0 248.00,2013-08-09,2013,89900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,89900.0
060 01 0 058.00,2013-08-16,2013,58000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,58000.0
069 03 0 087.00,2013-08-30,2013,150000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,150000.0
069 04 0 022.00,2013-08-16,2013,10000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,10000.0
070 04 0 003.00,2013-08-01,2013,75000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,75000.0
070 06 0 083.00,2013-08-30,2013,30000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,30000.0
071 02 0 040.00,2013-08-07,2013,30000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,30000.0
071 05 0 203.00,2013-08-12,2013,81500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,81500.0
071 09 0 087.00,2013-08-28,2013,99000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,99000.0
071 10 0 039.00,2013-08-19,2013,35000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,35000.0
071 14 0 386.00,2013-08-30,2013,55000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,55000.0
080 12 0 080.00,2013-08-30,2013,81000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,81000.0
080 12 0 115.00,2013-08-09,2013,107000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,107000.0
015 14 0 060.00,2013-08-20,2013,145000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,145000.0
018 07 0 044.00,2013-08-20,2013,123500.0,SINGLE FAMILY,CITY OF GOODLETTSVILLE,N,CLEAN,123500.0
025 04 0 126.00,2013-08-06,2013,203000.0,SINGLE FAMILY,CITY OF GOODLETTSVILLE,N,CLEAN,203000.0
025 12 0 029.00,2013-08-21,2013,100000.0,SINGLE FAMILY,CITY OF GOODLETTSVILLE,N,CLEAN,100000.0
025 16 0 063.00,2013-08-30,2013,163500.0,DUPLEX,CITY OF GOODLETTSVILLE,N,CLEAN,163500.0
033 00 0 232.00,2013-08-22,2013,135000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,135000.0
033 03 0A 108.00,2013-08-13,2013,100500.0,RESIDENTIAL CONDO,,N,CLEAN,100500.0
033 03 0B 137.00,2013-08-30,2013,172500.0,SINGLE FAMILY,,N,CLEAN,172500.0
033 04 0 016.00,2013-08-16,2013,83000.0,SINGLE FAMILY,CITY OF GOODLETTSVILLE,N,CLEAN,83000.0
033 04 0A 017.00,2013-08-23,2013,144500.0,RESIDENTIAL CONDO,,N,CLEAN,144500.0
033 06 0 041.00,2013-08-23,2013,150000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,150000.0
033 11 0 007.00,2013-08-07,2013,137500.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,137500.0
041 01 0A 012.00,2013-08-13,2013,115000.0,SINGLE FAMILY,,N,CLEAN,115000.0
041 03 0A 088.00,2013-08-01,2013,168000.0,SINGLE FAMILY,,N,CLEAN,168000.0
041 06 0 023.00,2013-08-28,2013,173000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,173000.0
041 12 0 005.00,2013-08-28,2013,149900.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,149900.0
042 01 0 020.00,2013-08-28,2013,235000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,235000.0
042 13 0 035.00,2013-08-26,2013,172000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,172000.0
050 02 0A 005.00,2013-08-16,2013,149900.0,SINGLE FAMILY,,N,CLEAN,149900.0
050 03 0 019.00,2013-08-15,2013,92220.0,DUPLEX,GENERAL SERVICES DISTRICT,N,CLEAN,92220.0
050 07 0 026.00,2013-08-28,2013,27500.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,27500.0
050 14 0 268.00,2013-08-07,2013,112500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,112500.0
050 15 0 019.00,2013-08-26,2013,53500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,53500.0
050 15 0 176.00,2013-08-02,2013,89000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,89000.0
026 02 0 017.00,2013-08-15,2013,160000.0,SINGLE FAMILY,CITY OF GOODLETTSVILLE,N,CLEAN,160000.0
026 06 0 094.00,2013-08-21,2013,139000.0,SINGLE FAMILY,CITY OF GOODLETTSVILLE,N,CLEAN,139000.0
026 06 0A 010.00,2013-08-12,2013,142500.0,RESIDENTIAL CONDO,,N,CLEAN,142500.0
026 06 0A 012.00,2013-08-30,2013,124900.0,RESIDENTIAL CONDO,,N,CLEAN,124900.0
026 16 0 025.00,2013-08-20,2013,215000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,215000.0
033 08 0 143.00,2013-08-23,2013,109900.0,SINGLE FAMILY,CITY OF GOODLETTSVILLE,N,CLEAN,109900.0
034 02 0 051.00,2013-08-30,2013,129900.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,129900.0
034 03 0B 409.00,2013-08-02,2013,84000.0,RESIDENTIAL CONDO,,N,CLEAN,84000.0
034 05 0A 069.00,2013-08-30,2013,78500.0,RESIDENTIAL CONDO,,N,CLEAN,78500.0
034 07 0A 013.00,2013-08-14,2013,135500.0,RESIDENTIAL CONDO,,N,CLEAN,135500.0
034 14 0A 006.00,2013-08-12,2013,70000.0,VACANT RES LAND,,Y,CLEAN,70000.0
034 14 0A 037.00,2013-08-12,2013,70000.0,VACANT RES LAND,,Y,CLEAN,70000.0
042 11 0 019.00,2013-08-19,2013,57500.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,57500.0
042 11 0A 047.00,2013-08-29,2013,52000.0,RESIDENTIAL CONDO,,N,CLEAN,52000.0
042 11 0B 016.00,2013-08-16,2013,80000.0,RESIDENTIAL CONDO,,N,CLEAN,80000.0
042 11 0B 022.00,2013-08-23,2013,74900.0,RESIDENTIAL CONDO,,N,CLEAN,74900.0
042 14 0 066.00,2013-08-23,2013,180000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,180000.0
042 16 0 024.00,2013-08-27,2013,222000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,222000.0
043 02 0A 138.00,2013-08-15,2013,68500.0,RESIDENTIAL CONDO,,N,CLEAN,68500.0
043 02 0A 215.00,2013-08-02,2013,88200.0,RESIDENTIAL CONDO,,N,CLEAN,88200.0
043 05 0 045.00,2013-08-22,2013,47871.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,47871.0
043 09 0 302.00,2013-08-28,2013,78900.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,78900.0
043 09 0 361.00,2013-08-09,2013,65500.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,65500.0
043 13 0 286.00,2013-08-02,2013,67646.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,67646.0
043 14 0B 002.00,2013-08-23,2013,56000.0,VACANT RES LAND,,Y,CLEAN,56000.0
043 14 0B 028.00,2013-08-23,2013,56000.0,VACANT RES LAND,,Y,CLEAN,56000.0
043 14 0B 029.00,2013-08-23,2013,56000.0,VACANT RES LAND,,Y,CLEAN,56000.0
043 14 0B 032.00,2013-08-23,2013,56000.0,VACANT RES LAND,,Y,CLEAN,56000.0
043 14 0B 045.00,2013-08-23,2013,56000.0,VACANT RES LAND,,Y,CLEAN,56000.0
043 15 0 209.00,2013-08-12,2013,15000.0,VACANT RES LAND,GENERAL SERVICES DISTRICT,Y,CLEAN,15000.0
043 15 0 210.00,2013-08-12,2013,20000.0,MOBILE HOME,GENERAL SERVICES DISTRICT,N,CLEAN,20000.0
051 02 0 049.00,2013-08-09,2013,155000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,155000.0
051 03 0 131.00,2013-08-22,2013,99500.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,99500.0
051 04 0 117.00,2013-08-30,2013,93000.0,DUPLEX,GENERAL SERVICES DISTRICT,N,CLEAN,93000.0
051 07 0 011.00,2013-08-12,2013,70000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,70000.0
051 10 0D 105.00,2013-08-30,2013,100000.0,RESIDENTIAL CONDO,,N,CLEAN,100000.0
051 10 0E 002.00,2013-08-20,2013,98900.0,RESIDENTIAL CONDO,,N,CLEAN,98900.0
051 12 0 098.00,2013-08-21,2013,85000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,85000.0
051 14 0 060.00,2013-08-22,2013,141500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,141500.0
052 01 0 126.00,2013-08-12,2013,10900.0,VACANT RES LAND,GENERAL SERVICES DISTRICT,Y,CLEAN,10900.0
052 01 0 245.00,2013-08-21,2013,109900.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,109900.0
052 05 0 275.00,2013-08-30,2013,84900.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,84900.0
052 08 0 113.00,2013-08-05,2013,88000.0,DUPLEX,GENERAL SERVICES DISTRICT,N,CLEAN,88000.0
052 09 0B 008.00,2013-08-12,2013,72000.0,CONDO,,N,CLEAN,72000.0
053 09 0 090.00,2013-08-30,2013,115000.0,ZERO LOT LINE,GENERAL SERVICES DISTRICT,N,CLEAN,115000.0
053 13 0 097.00,2013-08-02,2013,105000.0,ZERO LOT LINE,GENERAL SERVICES DISTRICT,N,CLEAN,105000.0
053 13 0 153.00,2013-08-30,2013,160000.0,SINGLE FAMILY,GENERAL SERVICES DISTRICT,N,CLEAN,160000.0
060 11 0A 019.00,2013-08-10,2013,39500.0,SINGLE FAMILY,,N,CLEAN,39500.0
060 12 0 112.00,2013-08-04,2013,120000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,120000.0
060 12 0 238.00,2013-08-04,2013,120000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,120000.0
060 12 0 239.00,2013-08-04,2013,120000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,120000.0
060 15 0 065.00,2013-08-02,2013,30900.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,30900.0
060 15 0 066.00,2013-08-02,2013,30900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,30900.0
060 15 0 066.00,2013-08-08,2013,37000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,37000.0
061 03 0 008.00,2013-08-16,2013,179900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,179900.0
061 03 0 103.00,2013-08-08,2013,108000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,108000.0
061 03 0 160.00,2013-08-09,2013,163000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,163000.0
061 06 0 023.00,2013-08-15,2013,144000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,144000.0
061 06 0 069.00,2013-08-26,2013,115000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,115000.0
061 07 0 221.00,2013-08-29,2013,204650.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,204650.0
061 08 0 034.00,2013-08-20,2013,230000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,230000.0
061 08 0 055.00,2013-08-12,2013,425000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,425000.0
061 10 0 022.00,2013-08-01,2013,15000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,Y,CLEAN,15000.0
061 10 0 079.00,2013-08-21,2013,121000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,121000.0
061 11 0 077.00,2013-08-24,2013,120060.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,120060.0
061 11 0 184.00,2013-08-13,2013,298500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,298500.0
061 11 0 190.00,2013-08-12,2013,161000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,161000.0
061 15 0 018.00,2013-08-01,2013,131300.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,131300.0
061 15 0 095.00,2013-08-12,2013,92000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,92000.0
061 15 0 209.00,2013-08-19,2013,196000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,196000.0
061 15 0 246.00,2013-08-01,2013,259500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,259500.0
061 15 0 272.00,2013-08-15,2013,155000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,155000.0
061 15 0 273.00,2013-08-15,2013,155000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,155000.0
061 15 0 295.00,2013-08-23,2013,165000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,165000.0
061 15 0 372.00,2013-08-26,2013,141500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,141500.0
061 16 0 279.00,2013-08-26,2013,118900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,118900.0
062 13 0 040.00,2013-08-14,2013,250500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,250500.0
062 13 0 041.00,2013-08-14,2013,250500.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,250500.0
071 04 0 155.00,2013-08-13,2013,75500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,75500.0
071 04 0 213.00,2013-08-16,2013,81000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,81000.0
071 07 0 044.00,2013-08-20,2013,60200.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,60200.0
071 07 0 053.00,2013-08-29,2013,69000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,69000.0
071 07 0 056.00,2013-08-29,2013,16000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,16000.0
071 07 0 187.00,2013-08-15,2013,38000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,38000.0
071 08 0 064.00,2013-08-19,2013,38000.0,MOBILE HOME,URBAN SERVICES DISTRICT,N,CLEAN,38000.0
071 08 0 164.00,2013-08-23,2013,66900.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,66900.0
071 08 0 369.00,2013-08-23,2013,119000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,119000.0
071 11 0 142.00,2013-08-19,2013,195000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,195000.0
071 12 0 155.00,2013-08-22,2013,136700.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,136700.0
071 12 0 276.00,2013-08-27,2013,135000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,135000.0
071 15 0 161.00,2013-08-20,2013,57000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,57000.0
071 15 0 491.00,2013-08-22,2013,59000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,59000.0
071 15 0 514.00,2013-08-23,2013,199900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,199900.0
071 16 0 078.01,2013-08-19,2013,139900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,139900.0
071 16 0 079.00,2013-08-30,2013,25000.0,VACANT RES LAND,,Y,CLEAN,25000.0
071 16 0 328.00,2013-08-16,2013,70500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,70500.0
072 03 0 016.00,2013-08-11,2013,117500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,117500.0
072 04 0 033.00,2013-08-06,2013,560000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,560000.0
072 04 0 137.00,2013-08-30,2013,90000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,90000.0
072 04 0 207.00,2013-08-22,2013,118000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,118000.0
072 04 0 269.00,2013-08-27,2013,188000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,188000.0
072 04 0 323.00,2013-08-23,2013,228000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,228000.0
072 04 0 362.00,2013-08-01,2013,359900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,359900.0
072 05 0 078.00,2013-08-22,2013,85000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,85000.0
072 05 0 142.00,2013-08-16,2013,127500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,127500.0
072 06 0 131.00,2013-08-19,2013,190000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,190000.0
072 06 0 281.00,2013-08-26,2013,75500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,75500.0
072 07 0 139.00,2013-08-30,2013,114000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,114000.0
072 07 0 299.00,2013-08-06,2013,40000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,40000.0
072 08 0 123.00,2013-08-02,2013,155000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,155000.0
072 08 0 134.00,2013-08-14,2013,118650.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,118650.0
072 08 0 227.00,2013-08-05,2013,221000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,221000.0
072 09 0 199.00,2013-08-30,2013,113200.0,SINGLE FAMILY,,N,CLEAN,113200.0
072 10 0 073.00,2013-08-23,2013,219000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,219000.0
072 10 0 314.00,2013-08-15,2013,187297.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,187297.0
072 11 0 141.00,2013-08-30,2013,37000.0,SINGLE FAMILY,,N,CLEAN,37000.0
072 11 0 152.00,2013-08-19,2013,348500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,348500.0
072 12 0 053.00,2013-08-13,2013,126500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,126500.0
072 13 0 166.00,2013-08-15,2013,76000.0,SINGLE FAMILY,,N,CLEAN,76000.0
072 13 0 265.00,2013-08-02,2013,100000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,100000.0
072 13 0 275.00,2013-08-29,2013,98500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,98500.0
072 13 0 442.00,2013-08-30,2013,62500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,62500.0
072 14 0 070.00,2013-08-22,2013,62000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,62000.0
072 14 0 144.00,2013-08-23,2013,116500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,116500.0
072 14 0 181.00,2013-08-09,2013,485155.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,485155.0
072 14 0 295.00,2013-08-26,2013,340000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,340000.0
072 15 0 054.00,2013-08-30,2013,93700.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,93700.0
072 15 0 302.00,2013-08-05,2013,220000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,220000.0
072 16 0 121.00,2013-08-14,2013,150000.0,VACANT RES LAND,,N,CLEAN,150000.0
072 16 0 121.00,2013-08-14,2013,41000.0,VACANT RES LAND,,Y,CLEAN,41000.0
072 16 0 203.00,2013-08-23,2013,108000.0,SINGLE FAMILY,,N,CLEAN,108000.0
073 06 0 049.00,2013-08-13,2013,215000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,215000.0
073 06 0 050.00,2013-08-13,2013,215000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,215000.0
073 09 0 015.00,2013-08-28,2013,144900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,144900.0
073 09 0 165.00,2013-08-26,2013,103000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,103000.0
073 13 0 129.00,2013-08-16,2013,195000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,195000.0
082 03 0 177.00,2013-08-30,2013,224500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,224500.0
082 04 0 129.00,2013-08-30,2013,90000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,90000.0
082 04 0 323.00,2013-08-09,2013,145500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,145500.0
082 04 0 365.00,2013-08-16,2013,106700.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,106700.0
082 07 0 223.00,2013-08-08,2013,28000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,Y,CLEAN,28000.0
082 08 0 173.00,2013-08-19,2013,35000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,35000.0
082 08 0 175.00,2013-08-28,2013,65500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,65500.0
082 08 0 237.00,2013-08-26,2013,120000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,120000.0
082 11 0 057.00,2013-08-02,2013,275000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,275000.0
082 12 0 130.00,2013-08-30,2013,74500.0,SINGLE FAMILY,,N,CLEAN,74500.0
082 12 0 210.00,2013-08-30,2013,950000.0,VACANT RES LAND,,Y,STATISTICAL_OUTLIER,950000.0
