parcel_id,sale_date,sale_year,sale_price,land_use,tax_district,sold_as_vacant,price_outlier_flag,sale_price_real
173 09 0A 136.00,2013-01-10,2013,242500.0,SINGLE FAMILY,,N,CLEAN,242500.0
173 09 0B 019.00,2013-01-10,2013,225000.0,SINGLE FAMILY,,N,CLEAN,225000.0
173 09 0B 094.00,2013-01-07,2013,35000.0,VACANT RES LAND,,N,CLEAN,35000.0
173 09 0B 100.00,2013-01-07,2013,35000.0,VACANT RES LAND,,N,CLEAN,35000.0
173 10 0C 009.00,2013-01-16,2013,207000.0,SINGLE FAMILY,,N,CLEAN,207000.0
173 11 0A 086.00,2013-01-11,2013,162000.0,SINGLE FAMILY,,N,CLEAN,162000.0
174 01 0A 104.00,2013-01-04,2013,171990.0,SINGLE FAMILY,,N,CLEAN,171990.0
180 02 0A 082.00,2013-01-22,2013,374900.0,SINGLE FAMILY,,N,CLEAN,374900.0
180 04 0B 059.00,2013-01-23,2013,271250.0,SINGLE FAMILY,,N,CLEAN,271250.0
180 04 0B 133.00,2013-01-17,2013,305000.0,SINGLE FAMILY,,N,CLEAN,305000.0
180 04 0B 151.00,2013-01-25,2013,320000.0,SINGLE FAMILY,,N,CLEAN,320000.0
181 01 0B 183.00,2013-01-15,2013,45000.0,VACANT RES LAND,,N,CLEAN,45000.0
181 01 0B 250.00,2013-01-08,2013,90000.0,SINGLE FAMILY,,N,CLEAN,90000.0
181 01 0B 254.00,2013-01-08,2013,90000.0,SINGLE FAMILY,,N,CLEAN,90000.0
181 02 0A 061.00,2013-01-15,2013,135500.0,RESIDENTIAL CONDO,,N,CLEAN,135500.0
181 02 0A 237.00,2013-01-25,2013,139144.0,VACANT RES LAND,,N,CLEAN,139144.0
181 03 0A 006.00,2013-01-18,2013,185000.0,SINGLE FAMILY,,N,CLEAN,185000.0
181 03 0A 271.00,2013-01-23,2013,45000.0,VACANT RES LAND,,N,CLEAN,45000.0
181 03 0A 280.00,2013-01-23,2013,45000.0,VACANT RES LAND,,N,CLEAN,45000.0
181 03 0A 290.00,2013-01-22,2013,45000.0,VACANT RES LAND,,N,CLEAN,45000.0
181 10 0D 012.00,2013-01-28,2013,80000.0,VACANT RES LAND,,N,CLEAN,80000.0
181 11 0B 113.00,2013-01-07,2013,200000.0,SINGLE FAMILY,,N,CLEAN,200000.0
182 06 0A 071.00,2013-01-03,2013,154000.0,SINGLE FAMILY,,N,CLEAN,154000.0
182 06 0A 278.00,2013-01-04,2013,157000.0,SINGLE FAMILY,,N,CLEAN,157000.0
182 06 0A 351.00,2013-01-24,2013,139000.0,SINGLE FAMILY,,N,CLEAN,139000.0
182 12 0A 131.00,2013-01-09,2013,190000.0,SINGLE FAMILY,,N,CLEAN,190000.0
182 12 0A 145.00,2013-01-04,2013,50000.0,VACANT RES LAND,,N,CLEAN,50000.0
182 12 0A 148.00,2013-01-04,2013,50000.0,VACANT RES LAND,,N,CLEAN,50000.0
186 04 0A 238.00,2013-01-24,2013,339900.0,SINGLE FAMILY,,N,CLEAN,339900.0
091 13 0 269.00,2013-01-24,2013,131350.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,131350.0
091 15 0 102.00,2013-01-14,2013,285000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,285000.0
091 16 0 256.00,2013-01-11,2013,450000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,450000.0
092 06 0 440.00,2013-01-15,2013,16000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,16000.0
092 06 0 622.00,2013-01-16,2013,17000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,17000.0
092 06 0 657.01,2013-01-16,2013,17000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,17000.0
092 07 0 199.00,2013-01-15,2013,27000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,27000.0
092 07 0 425.00,2013-01-15,2013,27000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,27000.0
092 09 0 215.00,2013-01-23,2013,63500.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,63500.0
092 10 0 129.00,2013-01-15,2013,16000.0,VACANT RES LAND,URBAN SERVICES DISTRICT,N,CLEAN,16000.0
092 13 0 272.00,2013-01-24,2013,130000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,130000.0
092 16 0B 021.00,2013-01-25,2013,118000.0,RESIDENTIAL CONDO,,N,CLEAN,118000.0
092 16 0E 054.00,2013-01-07,2013,900000.0,RESIDENTIAL CONDO,,N,CLEAN,900000.0
092 16 0E 121.00,2013-01-23,2013,390000.0,RESIDENTIAL CONDO,,N,CLEAN,390000.0
093 09 0A 006.00,2013-01-16,2013,227000.0,CONDO,,N,CLEAN,227000.0
102 07 0A 019.00,2013-01-17,2013,49500.0,RESIDENTIAL CONDO,,N,CLEAN,49500.0
102 07 0A 049.00,2013-01-11,2013,40000.0,RESIDENTIAL CONDO,,N,CLEAN,40000.0
103 03 0 023.00,2013-01-16,2013,194000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,194000.0
103 03 0 126.00,2013-01-09,2013,207500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,207500.0
103 08 0 206.00,2013-01-18,2013,295000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,295000.0
103 10 0 089.00,2013-01-23,2013,260000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,260000.0
103 14 0A 034.00,2013-01-29,2013,149900.0,RESIDENTIAL CONDO,,N,CLEAN,149900.0
103 14 0A 048.00,2013-01-11,2013,186500.0,RESIDENTIAL CONDO,,N,CLEAN,186500.0
103 16 0C 107.00,2013-01-30,2013,117600.0,RESIDENTIAL CONDO,,N,CLEAN,117600.0
103 16 0C 403.00,2013-01-08,2013,225000.0,RESIDENTIAL CONDO,,N,CLEAN,225000.0
104 01 0 244.00,2013-01-11,2013,138000.0,ZERO LOT LINE,URBAN SERVICES DISTRICT,N,CLEAN,138000.0
104 01 0 444.00,2013-01-11,2013,138000.0,ZERO LOT LINE,URBAN SERVICES DISTRICT,N,CLEAN,138000.0
104 05 0 361.00,2013-01-15,2013,270000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,270000.0
104 06 0 123.00,2013-01-18,2013,394500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,394500.0
104 06 0A 144.00,2013-01-24,2013,58000.0,RESIDENTIAL CONDO,,N,CLEAN,58000.0
104 09 0 011.00,2013-01-15,2013,899900.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,899900.0
104 11 0 240.00,2013-01-25,2013,860000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,860000.0
104 11 0F 107.00,2013-01-18,2013,105700.0,RESIDENTIAL CONDO,,N,CLEAN,105700.0
104 13 0A 029.00,2013-01-30,2013,345000.0,RESIDENTIAL CONDO,,N,CLEAN,345000.0
104 14 0 049.00,2013-01-10,2013,555000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,555000.0
105 09 0 141.00,2013-01-15,2013,164000.0,DUPLEX,URBAN SERVICES DISTRICT,N,CLEAN,164000.0
105 09 0 342.00,2013-01-18,2013,151000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,151000.0
105 13 0 109.00,2013-01-23,2013,600000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,600000.0
105 13 0 349.00,2013-01-02,2013,225000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,225000.0
105 13 0D 002.00,2013-01-22,2013,519000.0,RESIDENTIAL CONDO,,N,CLEAN,519000.0
105 13 0N 001.00,2013-01-11,2013,434605.0,RESIDENTIAL CONDO,,N,CLEAN,434605.0
105 14 0 193.00,2013-01-11,2013,396500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,396500.0
105 14 0C 019.00,2013-01-25,2013,245000.0,RESIDENTIAL CONDO,,N,CLEAN,245000.0
115 08 0 089.00,2013-01-11,2013,433500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,433500.0
115 15 0 009.00,2013-01-10,2013,147500.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,147500.0
116 04 0F 001.00,2013-01-30,2013,360000.0,RESIDENTIAL CONDO,,N,CLEAN,360000.0
116 09 0 072.00,2013-01-30,2013,428000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,428000.0
116 13 0 118.00,2013-01-11,2013,100000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,100000.0
117 01 0 053.00,2013-01-18,2013,427000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,CLEAN,427000.0
117 03 0A 023.00,2013-01-15,2013,171500.0,RESIDENTIAL CONDO,,N,CLEAN,171500.0
117 03 0B 114.00,2013-01-11,2013,79000.0,RESIDENTIAL CONDO,,N,CLEAN,79000.0
117 03 0C 143.00,2013-01-11,2013,180259.0,RESIDENTIAL CONDO,,N,CLEAN,180259.0
117 04 0 166.00,2013-01-18,2013,989000.0,SINGLE FAMILY,URBAN SERVICES DISTRICT,N,STATISTICAL_OUTLIER,989000.0
117 07 0C 110.00,2013-01-30,2013,237000.0,RESIDENTIAL CONDO,,N,CLEAN,237000.0
